,régions,longitude,latitude
1,Alsace Champagne-Ardenne Lorraine,5.616666666666667,48.68333333333333
2,Aquitaine Limousin Poitou-Charentes,0.18333333333333332,45.18333333333333
3,Auvergne Rhône-Alpes,4.533333333333334,45.49999999999999
4,Bourgogne Franche-Comté,4.800000000000001,47.233333333333334
5,Bretagne,-2.8333333333333335,48.16666666666667
6,Centre-Val de Loire,1.6833333333333331,47.46666666666667
8,Île-de-France,2.4999999999999996,48.7
9,Languedoc-Roussillon Midi-Pyrénées,2.1333333333333333,43.7
10,Nord-Pas-de-Calais Picardie,2.7666666666666666,49.95
11,Normandie,0.1,49.11666666666667
12,Pays de la Loire,-0.8166666666666665,47.46666666666667
13,Provence-Alpes-Côte d'Azur,6.050000000000001,43.95
