temps,Bourgogne-Franche-Comté,Nouvelle-Aquitaine,Hauts-de-France,Auvergne-Rhône-Alpes,Bretagne,Occitanie,Pays-de-la-Loire,Centre-Val de Loire,Grand-Est,PACA,Normandie,Ile-de-France
2016-01-01 00:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-01 01:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-01 02:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-01 03:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-01 04:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-01 05:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-01 06:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-01 07:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-01 08:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-01 09:00:00,3,7,0,9,0,12,0,1,2,34.0,0,0
2016-01-01 10:00:00,20,146,10,70,2,85,15,14,24,101.0,3,2
2016-01-01 11:00:00,42,434,21,116,7,154,34,31,51,195.0,6,4
2016-01-01 12:00:00,57,458,32,134,19,207,49,40,72,246.0,10,5
2016-01-01 13:00:00,47,649,29,143,24,246,66,38,79,226.0,11,7
2016-01-01 14:00:00,35,682,16,116,25,242,82,29,60,175.0,11,4
2016-01-01 15:00:00,25,467,7,78,21,210,43,25,34,93.0,9,3
2016-01-01 16:00:00,9,251,3,37,13,115,39,13,10,23.0,3,2
2016-01-01 17:00:00,0,23,0,3,1,14,4,0,0,0.0,0,0
2016-01-01 18:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-01 19:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-01 20:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-01 21:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-01 22:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-01 23:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-02 00:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-02 01:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-02 02:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-02 03:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-02 04:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-02 05:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-02 06:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-02 07:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-02 08:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-02 09:00:00,0,0,0,1,0,18,0,0,0,1.0,0,0
2016-01-02 10:00:00,7,55,9,17,2,55,26,14,11,28.0,2,4
2016-01-02 11:00:00,19,257,28,34,6,114,41,34,44,49.0,5,11
2016-01-02 12:00:00,19,461,24,61,12,154,48,45,56,48.0,6,11
2016-01-02 13:00:00,19,586,21,64,21,181,60,40,51,59.0,6,9
2016-01-02 14:00:00,16,628,10,80,32,226,75,37,58,85.0,5,7
2016-01-02 15:00:00,21,413,5,60,26,167,62,31,32,74.0,4,3
2016-01-02 16:00:00,16,174,2,37,19,130,36,10,9,23.0,2,1
2016-01-02 17:00:00,1,35,0,5,5,28,7,1,0,2.0,0,0
2016-01-02 18:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-02 19:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-02 20:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-02 21:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-02 22:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-02 23:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-03 00:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-03 01:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-03 02:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-03 03:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-03 04:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-03 05:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-03 06:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-03 07:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-03 08:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-03 09:00:00,3,0,0,14,0,14,0,0,6,46.0,0,0
2016-01-03 10:00:00,19,39,6,55,0,89,1,3,37,152.0,1,1
2016-01-03 11:00:00,25,64,11,93,2,223,4,10,51,169.0,2,2
2016-01-03 12:00:00,27,87,11,122,4,249,6,8,69,209.0,3,5
2016-01-03 13:00:00,23,97,11,109,7,242,6,9,97,190.0,2,4
2016-01-03 14:00:00,15,80,10,66,9,194,5,5,70,138.0,2,2
2016-01-03 15:00:00,10,71,3,46,12,113,6,3,41,97.0,2,1
2016-01-03 16:00:00,3,48,0,24,8,59,5,1,10,30.0,1,0
2016-01-03 17:00:00,0,7,0,0,2,6,0,0,0,1.0,0,0
2016-01-03 18:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-03 19:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-03 20:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-03 21:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-03 22:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-03 23:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-04 00:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-04 01:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-04 02:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-04 03:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-04 04:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-04 05:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-04 06:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-04 07:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-04 08:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-04 09:00:00,0,0,0,5,0,4,0,0,2,8.0,0,0
2016-01-04 10:00:00,10,79,10,44,9,61,28,18,27,71.0,9,6
2016-01-04 11:00:00,26,149,27,92,34,143,69,52,56,155.0,24,13
2016-01-04 12:00:00,44,193,44,117,44,169,117,83,69,206.0,41,17
2016-01-04 13:00:00,40,186,48,126,53,182,112,75,84,177.0,43,19
2016-01-04 14:00:00,28,164,43,117,51,129,98,66,84,181.0,31,16
2016-01-04 15:00:00,31,93,27,74,40,73,75,44,54,93.0,14,12
2016-01-04 16:00:00,14,45,8,23,24,34,46,18,28,36.0,10,5
2016-01-04 17:00:00,0,5,0,1,3,4,7,1,0,1.0,1,0
2016-01-04 18:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-04 19:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-04 20:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-04 21:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-04 22:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-04 23:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-05 00:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-05 01:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-05 02:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-05 03:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-05 04:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-05 05:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-05 06:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-05 07:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-05 08:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-05 09:00:00,1,4,0,10,0,12,0,0,3,36.0,0,0
2016-01-05 10:00:00,8,95,3,82,8,105,21,16,15,159.0,5,1
2016-01-05 11:00:00,18,174,9,146,22,185,48,29,54,222.0,16,3
2016-01-05 12:00:00,23,250,13,206,26,239,51,44,68,285.0,23,7
2016-01-05 13:00:00,28,308,17,223,26,225,48,53,54,267.0,15,8
2016-01-05 14:00:00,39,269,16,173,20,173,36,28,42,208.0,11,7
2016-01-05 15:00:00,27,164,9,127,16,134,34,24,51,138.0,8,4
2016-01-05 16:00:00,11,118,3,55,11,72,21,11,25,72.0,4,1
2016-01-05 17:00:00,1,24,0,4,2,13,2,1,0,5.0,0,0
2016-01-05 18:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-05 19:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-05 20:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-05 21:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-05 22:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-05 23:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-06 00:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-06 01:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-06 02:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-06 03:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-06 04:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-06 05:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-06 06:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-06 07:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-06 08:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-06 09:00:00,1,1,0,7,0,7,0,0,0,51.0,0,0
2016-01-06 10:00:00,7,59,4,33,12,56,18,6,11,133.0,4,1
2016-01-06 11:00:00,15,187,12,63,29,99,69,19,27,233.0,11,4
2016-01-06 12:00:00,19,212,19,84,41,201,107,35,36,252.0,12,9
2016-01-06 13:00:00,17,271,19,113,47,274,98,39,44,298.0,16,9
2016-01-06 14:00:00,17,339,17,102,33,302,81,34,43,342.0,15,8
2016-01-06 15:00:00,12,329,11,77,18,256,49,31,32,296.0,13,4
2016-01-06 16:00:00,5,189,5,36,10,128,23,12,10,125.0,8,3
2016-01-06 17:00:00,0,24,0,3,1,23,7,1,0,14.0,0,0
2016-01-06 18:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-06 19:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-06 20:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-06 21:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-06 22:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-06 23:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-07 00:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-07 01:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-07 02:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-07 03:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-07 04:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-07 05:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-07 06:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-07 07:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-07 08:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-07 09:00:00,0,0,0,0,0,7,0,0,4,4.0,0,0
2016-01-07 10:00:00,1,35,0,11,11,83,14,4,14,19.0,2,0
2016-01-07 11:00:00,5,106,1,28,36,205,81,33,12,32.0,19,4
2016-01-07 12:00:00,10,184,10,43,55,251,120,67,13,51.0,29,13
2016-01-07 13:00:00,31,295,28,70,58,248,140,86,22,110.0,34,17
2016-01-07 14:00:00,24,233,18,88,55,228,111,77,34,74.0,30,21
2016-01-07 15:00:00,35,179,17,65,46,174,70,48,54,65.0,26,15
2016-01-07 16:00:00,15,104,11,38,24,89,32,23,17,43.0,11,7
2016-01-07 17:00:00,0,28,0,9,2,11,5,1,0,3.0,1,0
2016-01-07 18:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-07 19:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-07 20:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-07 21:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-07 22:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-07 23:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-08 00:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-08 01:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-08 02:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-08 03:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-08 04:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-08 05:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-08 06:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-08 07:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-08 08:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-08 09:00:00,0,0,0,2,0,18,0,0,9,24.0,0,0
2016-01-08 10:00:00,9,51,9,28,5,110,11,7,67,90.0,2,5
2016-01-08 11:00:00,17,181,48,55,23,202,24,19,162,159.0,12,8
2016-01-08 12:00:00,26,335,68,69,34,245,38,32,86,251.0,16,10
2016-01-08 13:00:00,18,244,75,58,29,245,45,26,85,268.0,19,16
2016-01-08 14:00:00,17,262,66,52,23,229,40,30,123,315.0,19,11
2016-01-08 15:00:00,12,170,36,48,26,194,32,23,39,211.0,14,8
2016-01-08 16:00:00,4,97,10,25,18,110,17,9,13,100.0,6,3
2016-01-08 17:00:00,0,26,0,3,4,19,7,1,0,12.0,1,0
2016-01-08 18:00:00,0,0,0,0,0,1,0,0,0,0.0,0,0
2016-01-08 19:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-08 20:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-08 21:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-08 22:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-08 23:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-09 00:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-09 01:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-09 02:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-09 03:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-09 04:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-09 05:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-09 06:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-09 07:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-09 08:00:00,0,0,0,0,0,0,0,0,0,0.0,0,0
2016-01-09 09:00:00,0,1,0,1,0,4,1,0,0,1.0,0,0
2016-01-09 10:00:00,4,104,2,21,5,50,30,28,7,13.0,9,1
2016-01-09 11:00:00,15,309,8,53,16,104,72,56,19,36.0,17,11
2016-01-09 12:00:00,22,464,12,81,23,151,82,77,31,39.0,24,16
2016-01-09 13:00:00,48,494,20,105,18,222,94,64,46,35.0,24,16
